Closest Station,Train Line,Hotels Nearby?,Food Nearby?,Hotel Travel Direction,Total Km,Km Diff
Tokaido 45,,,,,434.0,0.9
Idagawa,JR,no,no,,438.8,4.8
Kameyama,JR,yes,yes,,443.6,4.8
Tokaido 46,,,,,443.6,0.0
Seki,JR,no,yes,,449.3,5.7
Tokaido 47,,,,,450.0,0.7
Tokaido 48,,,,,452.9,2.9
Tsuchimacho,n/a,only one,no,"1 hr to Golf Resort, 850 ft elevation",462.0,9.1
Tokaido 49,,,,,463.6,1.6
Tsuchiyamacho,bus,no,no,"1 hr to Golf Resort, 850 ft elevation",472.4,8.8
Tokaido 50,,,,,477.8,5.4
Minakuchiishibashi,Omi Tetsudo,yes,yes,,478.9,1.1
Mikumo,Kusatsu,yes,yes,,486.2,7.3
Kosei,Kusatsu,no,no,,490.1,3.9
Tokaido 51,,,,,492.8,2.7
Ishibe,Kusatsu,no,no,,493.8,1.0
Tehara,Kusatsu,yes,no,,499.1,5.3
Kusatsu,Tokaido Sanyo,yes,yes,,503.6,4.5
Tokaido 52,,,,,504.8,1.2
Minami Kusatsu,Tokaido Sanyo,only one,yes,,505.5,0.7
Seta,Tokaido Sanyo,only one,no,,508.9,3.4
Ishiyama,Tokaido Sanyo,only one,yes,,512.6,3.7
Awazu,Ishiyama Sakamoto,no,no,,513.5,0.9
Kawaragahama,Ishiyama Sakamoto,no,no,,514.2,0.7
Nakanosho,Ishiyama Sakamoto,no,no,,514.7,0.5
Zeze Hommachi,Ishiyama Sakamoto,no,no,,515.1,0.4
Keihan Zeze,Ishiyama Sakamoto,only one,yes,,516.8,1.7
Ishiba,Ishiyama Sakamoto,only one,no,,517.3,0.5
Biwako Hamaotsu,Ishiyama Sakamoto,yes,yes,,518.6,1.3
Otsu,Tokaido Sanyo,only one,yes,,519.3,0.7
Otani,Keihan Keishin,no,no,,520.7,1.4
Tokaido 53,,,,,520.8,0.1
Oiwake,Keihan Keishin,no,no,,522.1,1.3
Shinomiya,Keihan Keishin,no,no,,523.6,1.5
Yamashina,Tokaido Sanyo,only one,yes,,524.2,0.6
Misasagi,Tozai,no,no,,525.7,1.5
Kaege,Tozai,yes,no,,527.9,2.2
Higashiyama,Tozai,yes,yes,,528.9,1.0
Sanyo Keihan,Tozai,yes,yes,,529.6,0.7
Sanjo Bridge,n/a,yes,yes,,529.7,0.1
Tokaido 54,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
